DRPM,GP,MPG,ORPM,RPM,Season_End_Year,Season_Start_Year,WINS,names
-0.55,81,26.6,0.53,-0.02,2014,2013,3.20,Markieff Morris
2.40,68,17.1,-2.47,-0.07,2014,2013,1.72,Darrell Arthur
-0.12,28,3.5,0.03,-0.09,2014,2013,0.14,A.J. Price
-0.62,79,38.2,0.45,-0.17,2014,2013,3.92,DeMar DeRozan
0.42,73,22.2,-0.63,-0.21,2014,2013,2.11,Andray Blatche
1.70,58,11.8,-0.79,0.91,2014,2013,1.37,Jeff Withey
-1.24,65,31.0,2.13,0.89,2014,2013,3.85,Raymond Felton
1.44,69,17.2,-0.58,0.86,2014,2013,2.36,Kyle O'Quinn
1.86,71,32.4,-1.10,0.76,2014,2013,4.45,DeMarcus Cousins
2.40,57,31.8,-1.67,0.73,2014,2013,3.43,Nikola Vucevic
1.95,61,26.0,-1.32,0.63,2014,2013,3.03,Thabo Sefolosha
2.44,61,12.3,-1.84,0.60,2014,2013,1.36,Chuck Hayes
-0.06,81,32.3,0.58,0.52,2014,2013,4.71,Andre Drummond
2.46,26,16.5,-1.96,0.50,2014,2013,0.73,Gustavo Ayon
1.45,45,16.1,-1.02,0.43,2014,2013,1.22,Darius Miller
2.39,58,24.4,-2.02,0.37,2014,2013,2.39,Gerald Wallace
1.71,53,25.0,-1.45,0.26,2014,2013,2.12,Zaza Pachulia
1.35,82,21.6,-1.18,0.17,2014,2013,2.92,Timofey Mozgov
2.57,39,18.9,-2.41,0.16,2014,2013,1.23,Chris Kaman
0.28,71,28.9,-0.19,0.09,2014,2013,3.20,Jeremy Lin
1.57,58,22.6,-1.53,0.04,2014,2013,1.92,Nate Wolters
0.25,66,25.4,-0.32,-0.07,2014,2013,2.31,Marvin Williams
-1.45,70,29.6,1.38,-0.07,2014,2013,2.87,Dion Waiters
0.80,51,11.3,-0.96,-0.16,2014,2013,0.81,Brandon Davies
0.05,81,30.7,-0.25,-0.20,2014,2013,3.41,PJ Tucker
1.30,53,9.3,-1.56,-0.26,2014,2013,0.65,Aron Baynes
-0.80,79,25.0,0.51,-0.29,2014,2013,2.41,Courtney Lee
-0.07,55,26.9,-0.25,-0.32,2014,2013,1.83,Ersan Ilyasova
2.55,26,19.8,-2.89,-0.34,2014,2013,0.65,Andrew Bynum
1.36,31,26.8,-1.72,-0.36,2014,2013,1.00,Jason Smith
3.10,80,20.2,-3.48,-0.38,2014,2013,1.97,Samuel Dalembert
-1.94,77,33.2,1.53,-0.41,2014,2013,3.28,Jodie Meeks
0.19,49,20.7,-0.70,-0.51,2014,2013,1.08,Chris Douglas-Roberts
0.45,38,10.3,-0.99,-0.54,2014,2013,0.45,Hedo Turkoglu
1.25,64,15.7,-1.81,-0.56,2014,2013,1.11,Luc Mbah a Moute
1.49,70,15.0,-2.06,-0.57,2014,2013,1.16,Tyler Zeller
0.15,74,23.4,-0.74,-0.59,2014,2013,1.93,Jared Dudley
0.11,71,16.5,-0.71,-0.60,2014,2013,1.22,Nick Calathes
-0.84,41,18.3,0.21,-0.63,2014,2013,0.80,Chase Budinger
-0.47,63,10.5,-0.23,-0.70,2014,2013,0.68,Alexey Shved
-2.00,68,32.0,1.25,-0.75,2014,2013,2.28,Kevin Martin
2.48,34,14.4,-3.25,-0.77,2014,2013,0.48,Jason Maxiell
-0.93,63,18.9,0.15,-0.78,2014,2013,1.17,C.J. Watson
